child,relation,parent
GO:0043300,is_a,GO:1903305
GO:0097164,is_a,GO:0006807
GO:0001568,is_a,GO:0048856
GO:0001568,part_of,GO:0001944
GO:0043303,is_a,GO:0002279
GO:0043303,is_a,GO:0046907
GO:0043303,is_a,GO:0032418
GO:0043303,part_of,GO:0002448
GO:0043303,is_a,GO:0043299
GO:0043303,is_a,GO:0051656
GO:0043304,is_a,GO:0043300
GO:0043304,is_a,GO:0032386
GO:0043304,regulates,GO:0043303
GO:0043304,is_a,GO:0002886
GO:0043304,is_a,GO:0033006
GO:0043306,is_a,GO:0032388
GO:0043306,is_a,GO:0043302
GO:0043306,positively_regulates,GO:0043303
GO:0043306,is_a,GO:0043304
GO:0043306,is_a,GO:0002888
GO:0043306,is_a,GO:0033008
GO:0023051,regulates,GO:0023052
GO:0023051,is_a,GO:0050789
GO:0033003,is_a,GO:0002694
GO:0033003,regulates,GO:0045576
GO:0002252,is_a,GO:0002376
GO:0044532,is_a,GO:0044531
GO:0044532,is_a,GO:0042981
GO:0004630,is_a,GO:0004620
GO:0004630,is_a,GO:0008081
GO:0044531,is_a,GO:0043067
GO:0044531,is_a,GO:0035821
GO:0044536,is_a,GO:0044483
GO:0044536,is_a,GO:0061754
GO:0044537,is_a,GO:0065008
GO:0033005,is_a,GO:0002696
GO:0033005,is_a,GO:0033003
GO:0033005,positively_regulates,GO:0045576
GO:0045055,is_a,GO:0006887
GO:0006581,is_a,GO:0008291
GO:0006581,is_a,GO:0042135
GO:0006581,is_a,GO:1901575
GO:0003008,is_a,GO:0032501
GO:0050790,regulates,GO:0003824
GO:0050790,is_a,GO:0065009
GO:0019318,is_a,GO:0005996
GO:0050794,regulates,GO:0009987
GO:0050794,is_a,GO:0050789
GO:0002888,is_a,GO:0002705
GO:0002888,positively_regulates,GO:0002444
GO:0002888,is_a,GO:0002886
GO:0019637,is_a,GO:0071704
GO:0019637,is_a,GO:0006793
GO:0003948,is_a,GO:0016811
GO:0051239,regulates,GO:0032501
GO:0051239,is_a,GO:0050789
GO:0044425,is_a,GO:0005575
GO:0044425,part_of,GO:0016020
GO:0060078,is_a,GO:0042391
GO:0051234,is_a,GO:0051179
GO:0090407,is_a,GO:0019637
GO:0090407,is_a,GO:1901576
GO:0002886,regulates,GO:0002444
GO:0002886,is_a,GO:0002703
GO:0022891,is_a,GO:0022857
GO:0022891,is_a,GO:0022892
GO:0022890,is_a,GO:0008324
GO:0022892,is_a,GO:0005215
GO:0042268,regulates,GO:0019835
GO:0042268,is_a,GO:0050794
GO:0071804,is_a,GO:0006813
GO:0071804,is_a,GO:0009987
GO:0022898,regulates,GO:0022857
GO:0022898,is_a,GO:0032409
GO:0022898,is_a,GO:0034762
GO:0050896,is_a,GO:0008150
GO:0006898,is_a,GO:0006897
GO:0046390,is_a,GO:1901137
GO:0046390,is_a,GO:0090407
GO:0046390,is_a,GO:0019693
GO:0090066,is_a,GO:0065008
GO:0051338,regulates,GO:0016740
GO:0051338,is_a,GO:0050790
GO:0003990,is_a,GO:0004104
GO:0002694,is_a,GO:0050865
GO:0002694,regulates,GO:0045321
GO:0002694,is_a,GO:0002682
GO:0002697,is_a,GO:0002682
GO:0002697,regulates,GO:0002252
GO:0002696,positively_regulates,GO:0045321
GO:0002696,is_a,GO:0050867
GO:0002696,is_a,GO:0002684
GO:0002696,is_a,GO:0002694
GO:2000145,regulates,GO:0048870
GO:2000145,is_a,GO:0051270
GO:2000145,is_a,GO:0040012
GO:2000147,is_a,GO:0051272
GO:2000147,is_a,GO:2000145
GO:2000147,is_a,GO:0040017
GO:2000147,positively_regulates,GO:0048870
GO:0046983,is_a,GO:0005515
GO:0042832,is_a,GO:0001562
GO:0042832,is_a,GO:0098542
GO:0002699,is_a,GO:0002684
GO:0002699,is_a,GO:0002697
GO:0002699,positively_regulates,GO:0002252
GO:0010562,is_a,GO:0051174
GO:0010562,is_a,GO:0031325
GO:0010562,positively_regulates,GO:0006793
GO:0032414,positively_regulates,GO:0015075
GO:0032414,is_a,GO:0034767
GO:0032414,is_a,GO:0032411
GO:0032414,is_a,GO:0032412
GO:0030547,part_of,GO:2000272
GO:0030547,negatively_regulates,GO:0004872
GO:0030547,is_a,GO:0030545
GO:0032102,is_a,GO:0048585
GO:0032102,negatively_regulates,GO:0009605
GO:0032102,is_a,GO:0032101
GO:0032103,is_a,GO:0048584
GO:0032103,positively_regulates,GO:0009605
GO:0032103,is_a,GO:0032101
GO:0070271,is_a,GO:0044085
GO:0051246,regulates,GO:0019538
GO:0051246,is_a,GO:0060255
GO:0051246,is_a,GO:0080090
GO:0051246,is_a,GO:0051171
GO:0051649,is_a,GO:0051234
GO:0051649,part_of,GO:0051641
GO:0009311,is_a,GO:0005975
GO:0016798,is_a,GO:0016787
GO:0051247,positively_regulates,GO:0019538
GO:0051247,is_a,GO:0051246
GO:0051247,is_a,GO:0010604
GO:0051247,is_a,GO:0051173
GO:0044364,is_a,GO:0035821
GO:0007045,is_a,GO:0034333
GO:0007045,is_a,GO:0007044
GO:0007044,is_a,GO:0034329
GO:0004859,negatively_regulates,GO:0004620
GO:0004859,is_a,GO:0055102
GO:1903530,regulates,GO:0032940
GO:1903530,is_a,GO:0051046
GO:1903530,is_a,GO:0050794
GO:0070887,is_a,GO:0042221
GO:0070887,is_a,GO:0051716
GO:1903532,positively_regulates,GO:0032940
GO:1903532,is_a,GO:0048522
